t_epoch,event_type,ap,url,position_s,detail
1783941493.790,STARTUP_BUFFERING_START,1,http://10.0.0.100:8081/Video.mp4,-1.000,pct=0.0
1783941497.998,PLAYING,1,http://10.0.0.100:8081/Video.mp4,-1.000,
1783941507.646,STARTUP_BUFFERING_END,1,http://10.0.0.100:8081/Video.mp4,-1.000,pct=100
1783941517.816,HANDOVER_RELOAD_START,1,http://10.0.0.100:8081/Video.mp4,10.150,from_ap=1 to_ap=2
1783941518.802,HANDOVER_RELOAD_SEEK_OK,2,http://10.0.0.100:8082/Video.mp4,10.150,
1783941518.594,PLAYING,2,http://10.0.0.100:8082/Video.mp4,10.150,
1783941526.681,STALL_START,2,http://10.0.0.100:8082/Video.mp4,10.150,pct=8.3
1783941535.819,HANDOVER_RELOAD_START,2,http://10.0.0.100:8082/Video.mp4,10.150,from_ap=2 to_ap=3
1783941536.795,HANDOVER_RELOAD_SEEK_OK,3,http://10.0.0.100:8083/Video.mp4,10.150,
1783941536.497,PLAYING,3,http://10.0.0.100:8083/Video.mp4,10.150,
1783941553.816,HANDOVER_RELOAD_START,3,http://10.0.0.100:8083/Video.mp4,10.150,from_ap=3 to_ap=4
1783941554.795,HANDOVER_RELOAD_SEEK_OK,4,http://10.0.0.100:8084/Video.mp4,10.150,
1783941554.611,PLAYING,4,http://10.0.0.100:8084/Video.mp4,10.150,
