seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.13,1,295.0,4.0,77930,0.1272,4902.8,4.0,0,0.0,steady
2,0.451,1,295.0,4.0,190947,0.3206,4764.7,7.68,0,0.0,steady
3,2.863,4,2924.4,4.0,1440488,2.4113,4779.2,9.27,0,0.0,switch
4,5.475,4,2924.4,4.0,1560430,2.6124,4778.5,10.66,0,0.0,steady
5,8.214,4,2924.4,4.0,1637070,2.7389,4781.8,11.92,0,0.0,steady
6,9.91,4,2924.4,4.0,1013753,1.6951,4784.4,14.22,0,0.0,steady
7,12.02,4,2924.4,4.0,1260231,2.1099,4778.4,16.11,0,0.0,steady
8,14.513,4,2924.4,4.0,1489755,2.4933,4780.0,17.62,0,0.0,steady
9,17.285,4,2924.4,4.0,1655570,2.7719,4778.1,18.84,0,0.0,steady
10,22.616,4,2924.4,4.0,1713066,5.3305,2571.0,17.51,0,0.0,steady
11,23.591,3,1465.2,4.0,582629,0.975,4780.3,20.54,0,0.0,switch
12,25.753,4,2924.4,4.0,1291502,2.161,4781.1,22.38,0,0.0,switch
13,28.325,4,2924.4,4.0,1537016,2.5723,4780.2,23.81,0,0.0,steady
14,31.041,4,2924.4,4.0,1623114,2.7163,4780.4,25.09,0,0.0,steady
15,35.373,4,2924.4,4.0,1928282,3.2282,4778.6,24.76,0,0.0,steady
16,37.386,4,2924.4,4.0,723959,1.2119,4779.1,26.74,0,0.0,steady
17,42.61,4,2924.4,4.0,1419382,2.4163,4699.4,25.52,0,0.0,steady
18,60.283,4,2924.4,4.0,1920802,5.2364,2934.5,11.85,0,0.0,steady
19,61.451,3,1465.2,4.0,696701,1.1676,4773.7,14.68,0,0.0,switch
20,64.149,4,2924.4,4.0,1610274,2.6976,4775.4,15.98,0,0.0,switch
21,66.885,4,2924.4,4.0,1634038,2.7358,4778.3,17.25,0,0.0,steady
22,69.134,4,2924.4,4.0,1343919,2.2497,4779.0,19.0,0,0.0,steady
23,70.385,4,2924.4,4.0,746363,1.251,4773.0,21.74,0,0.0,steady
24,73.072,4,2924.4,4.0,1604801,2.6865,4778.9,23.06,0,0.0,steady
25,74.543,4,2924.4,4.0,878550,1.471,4778.0,25.59,0,0.0,steady
26,80.41,4,2924.4,4.0,1313599,4.2618,2465.8,23.72,0,0.0,steady
27,82.381,3,1465.2,4.0,858230,1.9705,3484.4,25.75,0,0.0,switch
28,87.212,4,2924.4,4.0,1805843,3.0256,4774.9,24.92,0,0.0,switch
29,90.987,4,2924.4,4.0,1654943,2.7724,4775.5,25.14,0,0.0,steady
30,94.779,4,2924.4,4.0,1544526,2.5877,4774.9,25.35,0,0.0,steady
31,99.326,4,2924.4,4.0,1876562,3.1429,4776.6,24.8,0,0.0,steady
32,117.656,4,2924.4,4.0,1615454,17.4267,741.6,10.47,0,0.0,steady
